chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14
57.869945,61.938988,79.432832,59.956709,56.194691,54.793236,60.102949,45.811904,68.675699,68.882438,45.088077,64.374697,68.729108,71.851916
55.952664,59.828864,78.574457,58.565932,56.727282,54.371569,59.419504,43.533048,68.675699,68.882438,44.647329,62.980809,68.412212,72.412978
54.035384,58.56279,77.204441,56.990702,57.579428,53.23307,57.564437,41.113955,68.962633,68.631913,44.390225,62.543511,67.699196,72.644004
52.272367,57.296716,75.716028,55.323916,58.0055,53.327945,55.70937,40.272532,69.651275,68.005599,43.361812,63.500101,66.774915,71.889634
51.963839,55.126303,75.597631,53.628437,56.301209,54.603486,53.488171,39.85182,69.870389,66.878235,41.690641,65.50894,65.567692,70.541199
52.426631,53.646476,75.952821,53.764075,54.4904,54.835402,50.645659,39.431108,70.089502,65.876134,40.229828,67.599772,64.360468,69.870971
51.038255,52.648964,76.054303,54.592438,53.721102,54.31359,48.110696,39.010396,69.989075,65.124558,39.228127,69.174045,64.360468,70.124845
49.64988,52.226939,76.054303,54.592438,53.180057,53.222528,47.75921,38.063795,68.626138,64.45649,39.365861,70.092372,65.944949,69.052226
48.87856,52.648964,75.775226,55.595192,52.165598,52.3551,48.451532,36.27577,66.904533,64.504209,40.972756,71.404266,67.318166,68.63968
48.10724,52.543457,75.28684,56.358158,51.455477,52.056921,48.451532,35.013634,64.704705,65.620837,42.686777,72.716161,68.163222,69.588536
47.027392,51.111588,73.62633,56.118369,50.308358,52.891821,48.637926,35.013634,62.696166,67.524829,44.143696,73.864069,68.797014,70.042336
46.204651,49.503875,71.282079,55.878579,49.161239,53.494804,47.95448,34.822402,62.026653,67.92567,45.355754,74.438023,69.0787,69.877318
47.618737,48.566042,69.719246,55.692077,49.325113,52.219263,47.95448,33.929983,62.026653,66.422518,45.700088,74.438023,69.0787,70.317366
50.511187,48.859115,68.351766,55.505574,49.184649,51.473817,48.345021,34.864898,62.249824,65.520626,45.21802,73.208121,69.782913,71.830034
52.246656,49.578475,65.979608,55.319071,49.848659,52.81562,48.052115,34.92333,63.678118,66.021677,45.603675,71.633848,71.455421,73.100675
51.916091,49.770304,64.095835,54.413201,51.527127,52.81562,48.984087,34.514305,63.878972,66.522728,45.025192,70.428545,71.568598,74.371316
52.356845,51.277535,63.429855,52.320496,51.527127,50.206559,50.599504,36.524372,62.874703,67.023779,43.096918,69.724147,71.206431,75.883984
52.356845,52.081392,64.089493,49.940043,51.121344,47.945372,51.282949,36.945084,64.381107,68.526931,40.847265,69.536307,71.523327,76.126011
51.585525,50.802529,65.903496,48.513298,50.999609,47.945372,51.966395,37.786507,66.89178,68.455352,39.561749,69.765889,70.995167,76.771416
52.577222,49.171979,67.531448,47.534159,51.993778,48.9393,54.016732,39.048643,67.89605,67.632197,40.204507,71.077783,71.259247,78.788306
53.568919,49.101642,69.26793,45.669132,54.692239,48.541729,54.700178,39.950168,67.494342,67.131147,41.23292,71.815724,71.259247,79.018808
52.797599,50.320824,71.190463,43.905834,56.396531,47.614063,55.383624,41.753219,67.092634,66.379571,41.894042,72.389678,70.290953,78.039175
53.414655,50.977307,72.306773,43.028423,57.05931,48.077896,56.750515,42.128854,65.887511,65.77831,42.812268,73.996749,70.547031,76.829041
54.80303,52.102706,72.763445,42.42229,58.361199,49.191095,56.613826,42.8651,63.343362,65.821257,44.281429,75.60382,70.451002,75.820596
54.224541,52.806081,72.94104,41.472822,60.035057,51.231961,57.160582,42.958592,61.000066,66.966516,46.07197,75.144657,69.605945,75.561281
54.417371,52.102706,72.452654,40.150348,60.643732,54.525176,57.160582,41.264058,58.717636,67.467566,47.036107,74.800284,68.609986,74.212846
55.18869,49.992583,71.313088,38.331947,60.062724,57.818391,56.477137,41.439354,56.435205,67.467566,47.86251,75.243049,67.704569,73.486766
54.417371,48.163809,69.685136,36.615274,58.203497,59.673724,55.964552,41.439354,55.832643,66.966516,49.074568,74.997069,66.685974,73.849806
53.646051,48.163809,68.53077,35.82179,55.860097,59.905641,56.135414,39.235626,55.732216,66.71599,50.617188,73.849161,64.943045,74.454873
52.594251,49.490173,68.353176,36.605102,54.558208,60.203819,58.185751,36.470948,54.426666,66.465465,51.131394,72.356881,63.041668,75.05994
51.542451,50.394511,68.743884,39.097456,53.895428,60.084548,60.431358,33.706271,54.901412,66.565675,50.102981,70.979391,61.411917,73.698539
51.079659,49.972486,68.353176,40.710583,53.895428,58.971348,61.99352,32.203729,56.581281,67.166936,49.441859,70.192254,60.204694,71.732071
51.608564,48.378171,66.399634,41.190161,54.321501,58.275598,62.38406,32.203729,57.485123,67.381672,49.552046,70.093862,59.676533,72.034604
53.063053,46.150818,66.399634,42.362464,53.043282,57.753786,62.432878,32.203729,58.489393,66.594307,49.9377,68.716373,59.148373,73.720149
53.268738,45.095757,68.87412,43.854485,51.460726,56.337439,63.799769,31.151949,58.991527,65.592205,50.382687,67.437276,59.148373,73.893025
52.240312,45.095757,71.153253,44.413993,51.582461,54.190554,64.824938,30.400678,58.991527,66.093256,51.309742,67.191296,59.852587,73.547272
51.0062,45.939806,71.979751,44.749698,50.943352,52.938204,64.532032,31.752966,59.278461,67.277558,53.238016,67.191296,59.394848,74.895708
50.080617,45.611565,70.657353,44.665772,49.573833,53.633954,63.82906,33.505932,60.426198,68.461859,54.408754,67.535668,58.98741,75.845197
48.72784,45.142648,68.182867,43.127125,49.269495,53.807892,62.393824,34.908304,60.081877,68.361649,53.747631,67.88004,59.477844,76.068607
47.837856,44.790961,66.489797,42.008108,49.463164,53.286079,59.904129,34.908304,59.881023,68.061019,52.134893,68.224413,59.565871,76.431647
49.573325,43.501441,65.261856,41.672404,48.743821,52.03373,58.146697,33.155339,62.001148,69.005857,49.943672,67.707854,60.686211,76.885447
50.978229,42.739452,64.424624,41.09691,47.120686,50.085631,58.537237,32.103559,63.117002,69.349435,48.979535,66.846923,62.510764,75.977847
50.390557,42.211921,64.424624,41.276752,45.132347,49.688059,59.220683,30.841424,63.117002,68.748174,48.979535,67.1339,62.862871,74.011379
48.590811,42.211921,63.587392,41.360678,43.001983,49.986238,58.537237,30.0,63.403937,67.803335,49.622293,66.990412,63.54,73.043271
45.395343,42.513367,61.912927,40.689268,41.91313,48.942613,57.853792,31.682847,64.69514,66.257236,49.622293,65.985992,64.076286,71.470097
42.816931,43.049272,60.858635,39.514301,41.25035,48.316439,57.853792,33.518681,66.368923,64.453453,48.979535,64.838085,63.759389,69.654895
42.354139,43.28373,60.46398,37.835777,41.25035,50.224781,58.87896,34.51309,67.038436,62.595011,49.622293,65.125061,64.15551,68.596028
41.531398,42.439681,59.309614,36.756726,41.980761,50.672048,59.562406,36.336175,66.125463,61.137409,49.989583,65.412038,65.502318,68.142228
39.474545,41.595631,58.865627,36.974716,41.752507,50.324173,58.992868,39.000683,66.551517,60.499708,50.196184,65.26855,67.509327,67.779187
38.703226,41.595631,60.049592,36.761086,40.793844,50.602473,57.944918,41.601447,68.392678,61.365159,52.124458,65.010271,69.621968,66.962347
39.988759,40.329557,61.351953,36.276179,40.604478,50.880773,55.660256,42.238889,68.431303,63.118836,54.052733,64.567506,70.678288,65.419426
42.92712,39.591014,62.282212,36.126976,40.415112,50.185024,54.605797,42.589482,68.637307,63.369362,54.149146,64.469114,71.357351,64.82536
43.191572,41.022883,62.951997,35.791272,39.98904,47.228087,55.24368,43.340753,68.302551,62.492523,53.763492,64.907406,72.353311,64.110281
40.260557,41.505197,63.125646,35.371641,38.33209,44.410301,55.764401,43.040245,66.093158,61.816105,54.727629,65.936051,72.443852,62.735128
38.387352,41.083173,62.629508,36.150955,36.67514,41.766452,55.17859,43.741431,63.682911,61.014423,56.173834,66.182031,72.534394,62.207069
38.828106,39.676424,61.69925,37.014196,36.67514,40.076775,54.98332,44.021906,61.616986,59.761797,57.532391,67.329939,73.643531,61.066086
39.599426,38.973049,59.875944,36.258861,37.740322,38.734972,55.666765,43.300686,61.559599,58.366012,59.786218,69.434437,74.118875,60.288142
40.062218,40.203954,57.727048,36.174934,38.095383,36.647723,56.17935,43.300686,61.815231,57.220753,60.949304,70.96498,74.330139,61.498277
39.533313,40.028111,55.913044,36.174934,36.959189,34.908348,56.281867,44.652973,62.606474,56.88672,61.120706,70.678003,74.541403,63.313478
37.770296,38.269675,54.099041,35.59944,36.959189,34.212599,55.188353,46.606278,63.9455,57.554787,61.120706,69.4727,73.168186,63.716856
36.227656,35.526514,53.33933,34.800143,36.959189,34.212599,52.796294,49.085473,64.949769,59.183202,59.288846,69.558793,71.79497,62.426046
35.245976,32.783353,53.773451,35.24775,36.959189,34.510777,50.859864,51.564667,66.814841,60.310566,56.557124,70.333631,71.30202,61.336925
35.806936,32.783353,55.455667,36.254864,37.811334,35.591674,49.167522,53.868566,68.077351,60.611197,54.885953,69.644886,70.333727,61.538614
35.586559,33.536969,56.083592,36.674495,36.817164,37.533975,46.882861,56.172464,68.479059,61.212458,53.343334,67.750838,68.309112,61.377263
32.859393,33.235523,54.595179,37.280629,34.686801,38.39538,46.57531,56.372802,68.612962,61.012037,52.186369,65.856791,66.284498,60.106622
30.793358,32.532148,53.455613,36.907623,33.976679,37.865285,48.625648,56.372802,69.55028,60.34397,51.543611,65.561614,64.54157,59.652822
30.0,31.125399,52.18581,37.467131,33.976679,36.589743,51.530292,56.588552,69.075534,61.133504,50.900853,65.561614,62.710614,60.106622
30.0,30.0,51.404393,37.327254,33.266558,34.293769,53.775899,55.752522,69.002496,62.390686,50.159209,63.962743,61.974391,60.365937
30.925584,30.984724,50.232268,36.787729,31.278218,31.789071,55.679783,53.82426,71.412743,62.991947,48.646255,62.757439,62.797498,59.53613
33.123845,33.657547,48.781066,38.066604,30.710121,31.232471,57.217536,51.720701,73.287379,63.077841,46.803682,62.757439,63.476561,58.083969
33.867618,35.451152,48.11128,38.961817,30.710121,31.232471,58.608836,50.894303,74.961162,62.863105,44.575454,62.855832,64.004721,57.461615
32.413129,36.822733,47.069391,40.01689,30.0,30.119271,59.487552,49.091252,75.74226,62.562475,42.132974,62.609851,64.215985,57.6561
32.280903,37.666782,45.580978,40.01689,31.065182,30.0,60.170998,47.58871,74.658287,61.760794,40.021054,62.265479,64.779356,56.7485
33.382788,38.088807,44.092565,38.961817,33.550606,30.993928,61.879612,47.58871,73.51055,61.396393,37.909135,61.060176,66.53989,55.992166
35.145805,38.812278,42.55341,38.206481,35.68097,32.942027,63.929949,47.288201,71.88459,62.034094,35.980861,61.429146,67.244104,56.856547
36.908822,40.520473,41.665437,38.24463,37.304105,35.446726,66.094194,46.687184,70.832498,62.535145,35.12385,63.396988,67.59621,57.610917
39.33297,42.771271,42.837562,38.366704,37.506997,36.281626,67.706425,46.386676,69.684762,62.749881,35.295252,65.168046,67.173682,57.500905
42.374174,44.318695,44.400396,36.832053,37.222948,36.758711,68.407395,47.725304,67.747957,62.213041,36.162975,66.775117,65.091222,55.887392
45.613717,45.02207,45.572521,36.192616,37.953359,37.235797,69.660379,49.063933,67.245822,61.628482,37.287802,67.693443,63.43129,55.968068
49.007524,45.02207,45.702757,37.423533,38.683769,36.818347,71.710716,49.765119,68.049237,61.043922,39.157644,68.382188,62.727076,58.14631
51.938539,44.117731,46.446963,39.163095,38.257696,36.520168,73.248468,50.045594,69.656069,60.292346,40.770382,68.72656,62.551023,58.932897
55.220154,42.510018,46.539989,41.574066,36.492538,36.91774,74.053958,49.858611,70.961619,59.991716,41.798795,67.865629,62.022863,58.993403
59.006634,41.505197,44.260857,43.636253,34.159282,37.845406,75.713755,49.04056,72.133267,58.617405,42.166085,66.143768,62.022863,60.264044
62.056853,40.299412,41.981724,45.661139,31.318797,36.58643,76.670579,47.797548,73.807049,56.708641,41.71532,64.852371,63.079183,61.996737
64.205529,39.395074,39.214207,47.899171,30.963736,34.678088,77.725038,47.185603,73.606195,54.620929,40.713619,65.282837,63.4633,63.426895
66.739866,38.222783,36.772279,49.391193,32.028918,35.155174,79.748747,45.713112,72.401072,52.199184,39.887216,66.881708,63.092902,64.395003
69.755025,36.347118,35.307123,51.209594,33.449161,37.441209,80.015025,44.895061,73.405341,49.956385,39.887216,68.35759,61.634173,65.535986
72.880373,35.643743,36.214124,53.401,35.295476,39.250158,79.312052,44.6029,74.227016,48.715688,40.272871,68.2346,59.213439,67.610502
74.995993,36.909817,36.437386,55.401665,36.147622,40.711232,78.491917,44.778197,74.044422,49.049722,40.272871,67.373669,57.628958,67.999474
75.458785,39.08023,34.874552,56.469817,37.993937,41.456678,76.851647,44.778197,74.957394,49.851403,41.264555,67.373669,57.232838,67.351188
75.789351,40.219027,35.135025,55.630555,39.840252,40.860321,75.807839,44.077011,75.368231,49.851403,43.713157,66.635728,56.915942,67.973542
76.582708,40.453485,36.437386,55.350801,39.840252,39.170643,74.57477,43.235587,74.196584,49.71779,45.427178,64.86467,56.372692,67.973542
77.302607,39.75011,35.786205,54.791293,39.650887,37.083394,71.925103,41.438,73.527071,49.670071,45.684282,63.257599,56.372692,67.005435
78.022505,39.348182,33.088457,52.473331,40.597715,35.691895,69.464699,41.183023,73.125363,50.099543,46.262764,62.929626,57.127206,65.103795
80.220767,39.649628,30.520945,49.875615,42.017958,35.691895,66.556948,42.304921,71.518532,50.743751,48.053304,64.271336,58.264782,63.202156
82.286802,39.122097,30.130236,47.637583,43.641092,37.222544,63.414873,43.42682,70.53658,49.84186,49.155175,66.105007,59.050251,61.507968
82.617367,39.297941,30.260472,45.424983,44.554105,39.101068,60.310077,43.42682,70.759751,50.067332,48.60424,67.273413,60.018545,60.217158
82.617367,40.302762,30.0,43.044531,43.275887,39.954943,57.132054,43.146345,71.261885,51.946273,47.502369,67.129925,61.206905,60.015469
83.080159,39.549146,31.562834,40.694597,42.530259,40.287005,54.364099,41.989388,71.261885,53.198899,48.191038,65.773306,61.286129,61.170597
84.005743,39.900833,32.34425,38.512515,44.031198,41.226268,52.72383,40.411718,71.76402,54.000581,49.430643,65.679387,61.365353,62.066411
83.697215,42.151632,31.302361,36.833991,46.521233,42.16553,52.826346,40.83243,74.330486,54.601842,49.320456,65.937666,61.233313,61.547782
84.082875,42.151632,30.651181,35.155467,47.510331,43.581877,53.338931,41.444375,75.892683,55.54668,47.970664,65.162828,61.101273,60.6834
86.628231,41.729607,30.651181,33.596837,45.32079,45.520037,51.874404,41.401878,75.710089,55.355804,46.363769,63.527059,62.025554,58.989213
89.008303,41.917174,31.488413,32.038208,42.953719,46.795578,49.179676,39.906014,75.814429,55.20397,45.445543,62.235663,61.919922,57.900092
90.0,42.587054,33.845067,31.438735,42.547936,48.071119,46.582582,39.345065,76.101363,56.388272,44.013111,62.235663,61.603025,57.900092
90.0,43.491393,35.755197,31.119016,42.4262,49.810493,45.443506,40.466963,76.101363,55.987431,42.374077,62.235663,61.919922,57.295025
,43.189947,36.797086,30.0,43.355814,51.201993,45.964226,40.653946,75.699655,55.252557,41.892009,62.426981,62.87061,55.681512
,41.622426,38.620392,30.0,45.137573,53.150092,45.573686,41.261641,75.297947,55.920624,41.506354,61.929554,63.594944,54.219267
,40.356352,40.071594,31.566623,45.563645,54.924254,44.331057,42.912126,74.795812,55.586591,40.477941,60.666856,62.840429,54.128507
,41.411414,41.746059,33.133245,46.628827,54.750316,43.088429,43.195297,74.006744,54.341555,40.992148,60.338882,61.303963,53.483102
,42.466476,42.490266,34.412121,47.930716,54.054566,43.088429,42.669408,73.537215,53.931605,42.79187,60.584862,59.767497,52.474657
,43.370814,40.753784,35.467193,47.863086,54.054566,44.65059,41.767882,73.067686,54.098622,43.916697,60.982215,58.605545,52.928457
,43.571779,39.668483,36.64216,47.795455,54.472016,45.822212,41.918137,71.91995,54.150012,44.123298,60.805614,58.650816,52.474657
,43.16985,39.668483,38.488536,49.310381,53.845842,45.887302,43.390628,71.460855,53.533334,43.462175,59.370729,58.273558,50.840975
,42.767922,41.133639,39.495651,50.825306,54.054566,45.473092,42.549204,71.575629,51.958603,41.630315,59.370729,57.217238,49.751855
,42.256377,44.197148,40.754544,52.340232,55.306916,46.653589,40.235289,71.958208,50.884923,40.505488,60.662125,56.689078,49.388814
,42.213748,46.772272,42.572945,53.812119,55.306916,47.727575,39.7094,71.623451,50.884923,40.551399,60.936058,56.79471,48.481214
,43.386039,48.53046,44.139568,55.189324,56.635165,46.555954,40.656001,70.217474,50.670187,38.990415,60.041584,57.745398,47.573613
,44.370763,50.614238,44.427315,55.662738,59.454307,45.970144,41.076713,68.811497,49.620366,37.319244,59.877598,58.458414,46.363479
,44.792788,52.56778,43.707947,54.526544,61.640949,45.750465,42.479086,66.602104,48.409493,37.147842,60.107179,59.646775,44.245744
,46.340212,53.870141,43.372242,55.165654,62.336698,45.465696,44.933238,64.536178,46.906341,38.647611,59.762807,59.646775,44.699544
,48.215877,55.172503,42.796748,57.143849,63.032448,45.180926,47.036797,64.536178,45.778977,41.432896,59.074062,58.422403,46.968546
,51.076267,55.432975,41.358013,56.99168,64.297447,44.481948,47.036797,64.894846,45.277926,43.896802,59.246248,57.763918,48.965267
,53.668704,54.651558,39.919278,55.926498,64.866697,44.067738,45.564306,63.890576,44.275825,45.305925,59.418434,57.141443,50.961989
,55.477382,53.479433,38.840227,56.230836,64.031798,42.375397,43.460747,63.675376,43.774774,46.577315,58.72969,56.217163,52.647533
,57.647794,52.480956,38.560473,57.245295,62.501148,40.724476,40.515764,63.96231,43.774774,46.439581,59.877598,55.160843,53.879277
,59.818207,50.798739,40.052495,59.233634,61.805399,40.245176,39.554137,63.560602,43.023198,44.704134,62.255407,55.085391,54.592392
,61.894837,48.356811,41.171511,60.511852,60.910863,40.180086,39.854645,63.158894,42.271622,42.77586,64.223249,55.714153,55.053395
,62.832669,45.984653,41.597803,60.81619,58.763979,40.114996,38.59251,63.158894,41.369731,40.333379,65.305562,55.890207,54.892044
,64.180804,43.612495,42.676854,60.207515,56.352046,38.591889,37.330374,64.364018,39.565948,39.047863,66.510865,54.833886,54.892044
,66.064843,43.807849,42.31717,59.294502,53.800964,36.131484,37.330374,64.899628,38.363426,38.083726,68.06054,53.46067,55.860151
,66.203972,44.700897,40.278962,59.598839,53.453089,34.673467,37.330374,65.234385,39.064897,36.243101,68.749285,53.370128,57.372819
,65.61963,45.593945,38.720333,61.086713,54.336156,33.215449,37.630883,64.960493,39.852263,34.540209,67.716168,53.596482,59.490554
,65.61963,47.547487,37.66526,64.045551,53.943682,31.106531,39.433933,63.280624,39.136476,35.160012,66.109097,53.279586,61.119581
,65.137316,48.328904,37.329555,66.733868,54.009944,30.0,41.357187,62.209403,38.420689,37.248975,64.797202,52.786637,62.14354
,65.288039,49.891737,37.089766,68.559894,54.308122,30.797353,40.876374,61.037756,38.506583,38.534492,63.198331,52.610583,62.913626
,65.81557,51.733648,36.663474,70.538089,53.612373,33.287048,39.273662,61.396423,39.02195,38.020285,61.993028,52.610583,63.683711
,64.476453,52.764088,36.141267,73.260221,51.664274,34.341507,37.670951,63.462349,38.067568,36.863321,61.648655,52.082423,63.381178
,63.899325,54.352683,36.738076,75.221508,50.710103,33.93144,36.348714,66.102143,36.146873,35.577804,61.304283,50.497942,61.384456
,63.711759,54.799207,38.677703,75.289139,49.616782,32.336733,36.453891,67.536814,34.894246,33.006772,61.304283,49.969782,60.295335
,63.289734,53.920113,40.244326,75.289139,49.616782,31.152094,38.241917,67.536814,34.393196,30.564292,61.304283,49.705702,59.690268
,64.696483,54.517028,40.468129,76.235967,50.776364,32.245607,39.804561,66.676011,34.092565,30.050085,60.959911,47.857141,57.788629
,67.369306,56.5791,40.552055,77.798234,51.240198,32.929053,39.684357,66.618624,33.577199,30.968311,60.959911,47.117717,55.584456
,69.690442,57.94658,40.132424,77.737366,52.353397,33.807769,38.842934,67.42204,33.362463,31.769672,60.71393,47.208259,54.313815
,70.745504,57.165163,40.132424,76.520015,52.075097,36.224238,39.263645,67.42204,34.045714,31.90991,60.123578,46.189664,53.587734
,71.448878,55.602329,40.971686,74.859992,51.379347,38.445436,39.403883,67.135106,35.480541,32.350658,58.822616,44.718361,52.619627
,71.917794,54.23485,41.211476,73.078233,51.379347,40.666635,38.936425,65.413501,35.931486,32.534303,58.057344,43.088609,52.01456
,72.386711,53.258079,41.451265,70.876857,51.379347,42.887833,38.644264,62.974561,35.931486,31.065142,58.248662,41.187232,52.619627
,72.855627,53.537156,42.010773,68.568963,51.611264,44.254724,38.539086,61.683357,36.232117,30.238739,58.593034,39.708384,52.446751
,73.79346,54.206942,42.570281,68.036372,51.611264,44.059454,37.908018,60.72691,36.0651,30.624394,58.691426,39.180223,51.215007
,76.020812,54.988359,43.638433,68.036372,52.87024,44.205907,35.804459,59.387884,35.397032,30.734581,58.445446,39.859287,50.926225
,78.482623,54.727887,45.266092,68.273079,52.87024,45.231075,34.452171,59.220506,34.895981,30.734581,58.636764,41.258568,50.183642
,80.592747,52.904581,46.664863,66.988097,51.379347,45.790258,34.502256,59.053128,35.397032,30.183645,59.402036,42.205141,48.822241
,80.994675,51.081275,48.623141,65.466409,52.273883,45.665995,36.355392,58.160444,35.898083,30.0,59.784672,42.748392,48.368441
,80.994675,51.211511,49.555654,65.162071,53.864168,46.007718,38.278645,58.224207,35.597453,31.799723,59.784672,43.065288,49.276042
,81.999496,52.969699,49.788782,64.147612,54.328001,47.506042,38.173468,57.841628,35.797873,34.113652,59.193325,44.19706,49.578575
,84.285463,53.667393,50.767922,64.502673,53.400335,47.979196,39.368672,57.172115,36.799974,35.913374,58.164681,45.555186,48.368441
,86.923117,54.56044,52.166692,64.289636,52.704585,47.420013,41.790952,56.502602,36.799974,36.8316,57.136036,46.913312,47.158307
,87.626492,56.123274,53.485532,61.946236,53.507373,46.040696,43.543918,55.478641,35.797873,38.264032,55.369451,47.951879,46.91628
,86.57143,55.118595,54.804372,60.576716,55.638411,44.810493,44.595697,54.263391,34.394931,40.798336,53.811576,46.978408,47.27932
,86.772394,52.551083,56.650749,59.739788,56.54921,43.71698,44.295189,53.402588,32.741463,43.62188,52.376691,45.781244,46.674253
,87.442275,49.816124,58.590377,58.294184,57.026296,43.033535,42.942901,53.067832,31.345679,45.513072,51.046161,45.992508,45.615386
,87.783305,48.25329,59.52289,58.091292,57.920831,42.740629,43.393663,51.96056,30.20042,46.600816,49.619973,46.203773,44.480885
,89.062167,46.788134,60.242258,58.091292,58.616581,42.447724,45.737629,49.84902,30.0,47.457827,48.376406,45.358716,44.405252
,90.0,45.322977,61.29733,56.955098,59.544247,43.677926,45.316917,47.840481,30.710581,47.67208,47.745057,44.51366,46.220453
,89.179396,44.932269,62.192543,55.948017,61.104413,44.908129,42.792646,46.367552,30.619481,47.457827,46.61802,44.196764,47.430587
,88.124335,43.89038,63.311559,56.645227,61.538127,45.135944,40.829325,46.066271,30.11843,46.85792,45.835356,43.404523,47.884387
,,44.020616,64.710329,58.633566,60.074342,44.543624,39.426952,47.572675,30.870006,46.472265,45.052691,42.295387,49.427309
,,45.974158,65.885296,59.76976,59.737009,43.040044,37.82424,49.246458,31.99737,46.747733,43.800428,42.770731,51.121496
,,47.797464,66.46079,59.76976,59.670747,42.356598,36.922715,50.585484,31.621582,47.0232,42.469899,44.091132,51.028409
,,49.230061,65.861317,58.633566,60.068318,42.812228,36.221529,51.656705,31.705091,48.180165,41.41765,44.619292,49.725188
,,50.848711,65.022055,57.497372,61.459817,43.267859,34.618817,51.054143,32.540175,50.163533,40.652378,44.091132,48.21252
,,51.685943,63.86,58.136481,62.677379,43.780443,34.0178,50.719386,32.540175,50.604281,40.652378,42.506651,46.008347
,,52.988304,61.392426,59.911785,62.781742,44.976473,34.0178,50.719386,33.041226,50.218626,40.652378,41.274277,44.106707
,,55.267437,60.086907,61.332027,62.174542,46.538635,34.418478,49.762939,34.043328,48.93311,40.078424,40.570064,42.41252
,,57.416333,60.086907,62.468221,61.289043,46.597216,35.820851,48.36015,35.379463,47.261939,39.832444,40.268258,40.718332
,,60.053615,59.667276,62.361703,59.102401,46.004896,37.223223,46.957361,37.383666,46.876284,39.155998,41.4453,40.113265
,,62.821132,59.247645,61.829112,56.567884,46.232711,36.522037,46.268719,38.552784,46.876284,38.725533,42.924149,39.508197
,,65.100265,59.807153,61.403039,54.033367,45.939806,36.288308,46.268719,38.719801,47.519042,38.295067,43.135413,38.90313
,,67.429488,60.366661,60.063953,52.542475,44.621732,39.034622,46.957361,38.719801,49.125937,37.290648,41.762197,39.162445
